FISCAL YEAR,AGENCY NAME AND NUMBER,COUNTY,EXPENDITURE CATEGORY,AMOUNT,NUMBER,AGENCY NAME
2023,242-STATE COMMISSION ON JUDICIAL CONDUCT,WILLIAMSON,SUPPLIES AND MATERIALS,24.78,242,STATE COMMISSION ON JUDICIAL CONDUCT
2023,243-TEXAS STATE LAW LIBRARY,WILLIAMSON,SUPPLIES AND MATERIALS,120.9,243,TEXAS STATE LAW LIBRARY
2023,302-OFFICE OF THE ATTORNEY GENERAL,WILLIAMSON,SUPPLIES AND MATERIALS,532.78,302,OFFICE OF THE ATTORNEY GENERAL
2023,303-TEXAS FACILITIES COMMISSION,WILLIAMSON,SUPPLIES AND MATERIALS,140075.33,303,TEXAS FACILITIES COMMISSION
2023,304-COMPTROLLER OF PUBLIC ACCOUNTS,WILLIAMSON,SUPPLIES AND MATERIALS,36526.31,304,COMPTROLLER OF PUBLIC ACCOUNTS
2023,305-GENERAL LAND OFFICE,WILLIAMSON,SUPPLIES AND MATERIALS,5164.93,305,GENERAL LAND OFFICE
2023,306-TX STATE LIBRARY AND ARCHIVES COMMISSION,WILLIAMSON,SUPPLIES AND MATERIALS,4063,306,TX STATE LIBRARY AND ARCHIVES COMMISSION
2023,307-SECRETARY OF STATE,WILLIAMSON,SUPPLIES AND MATERIALS,1158.39,307,SECRETARY OF STATE
2023,308-STATE AUDITOR'S OFFICE,WILLIAMSON,SUPPLIES AND MATERIALS,282.2,308,STATE AUDITOR'S OFFICE
2023,312-STATE SECURITIES BOARD,WILLIAMSON,SUPPLIES AND MATERIALS,157.74,312,STATE SECURITIES BOARD
2023,313-DEPARTMENT OF INFORMATION RESOURCES,WILLIAMSON,SUPPLIES AND MATERIALS,335.99,313,DEPARTMENT OF INFORMATION RESOURCES
2023,320-TEXAS WORKFORCE COMMISSION,WILLIAMSON,SUPPLIES AND MATERIALS,59972.17,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,WILLIAMSON,SUPPLIES AND MATERIALS,194225.56,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,327-EMPLOYEES RETIREMENT SYSTEM OF TEXAS,WILLIAMSON,SUPPLIES AND MATERIALS,16769.15,327,EMPLOYEES RETIREMENT SYSTEM OF TEXAS
2023,329-TEXAS REAL ESTATE COMMISSION,WILLIAMSON,SUPPLIES AND MATERIALS,837,329,TEXAS REAL ESTATE COMMISSION
2023,332-TX DEPT OF HOUSING & COMMUNITY AFFAIRS,WILLIAMSON,SUPPLIES AND MATERIALS,3749.97,332,TX DEPT OF HOUSING & COMMUNITY AFFAIRS
2023,338-STATE PENSION REVIEW BOARD,WILLIAMSON,SUPPLIES AND MATERIALS,171.6,338,STATE PENSION REVIEW BOARD
2023,359-OFFICE OF PUBLIC INSURANCE COUNSEL,WILLIAMSON,SUPPLIES AND MATERIALS,944.96,359,OFFICE OF PUBLIC INSURANCE COUNSEL
2023,360-STATE OFFICE OF ADMINISTRATIVE HEARINGS,WILLIAMSON,SUPPLIES AND MATERIALS,33.54,360,STATE OFFICE OF ADMINISTRATIVE HEARINGS
2023,362-TEXAS LOTTERY COMMISSION,WILLIAMSON,SUPPLIES AND MATERIALS,2045.57,362,TEXAS LOTTERY COMMISSION
2023,401-TEXAS MILITARY DEPARTMENT,WILLIAMSON,SUPPLIES AND MATERIALS,4466229.59,401,TEXAS MILITARY DEPARTMENT
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,WILLIAMSON,SUPPLIES AND MATERIALS,1831028.34,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,407-TX COMMISSION ON LAW ENFORCEMENT,WILLIAMSON,SUPPLIES AND MATERIALS,1400.21,407,TX COMMISSION ON LAW ENFORCEMENT
2023,409-COMMISSION ON JAIL STANDARDS,WILLIAMSON,SUPPLIES AND MATERIALS,845.51,409,COMMISSION ON JAIL STANDARDS
2023,411-TEXAS COMMISSION ON FIRE PROTECTION,WILLIAMSON,SUPPLIES AND MATERIALS,2012,411,TEXAS COMMISSION ON FIRE PROTECTION
2023,451-TEXAS DEPARTMENT OF BANKING,WILLIAMSON,SUPPLIES AND MATERIALS,1373.34,451,TEXAS DEPARTMENT OF BANKING
2023,452-TEXAS DEPT OF LICENSING & REGULATION,WILLIAMSON,SUPPLIES AND MATERIALS,2107.7,452,TEXAS DEPT OF LICENSING & REGULATION
2023,454-TEXAS DEPARTMENT OF INSURANCE,WILLIAMSON,SUPPLIES AND MATERIALS,8580.63,454,TEXAS DEPARTMENT OF INSURANCE
2023,455-RAILROAD COMMISSION OF TEXAS,WILLIAMSON,SUPPLIES AND MATERIALS,12842.84,455,RAILROAD COMMISSION OF TEXAS
2023,456-TEXAS STATE BOARD OF PLUMBING EXAMINERS,WILLIAMSON,SUPPLIES AND MATERIALS,444.45,456,TEXAS STATE BOARD OF PLUMBING EXAMINERS
2023,457-TEXAS STATE BOARD OF PUBLIC ACCOUNTANCY,WILLIAMSON,SUPPLIES AND MATERIALS,857.07,457,TEXAS STATE BOARD OF PUBLIC ACCOUNTANCY
2023,458-TEXAS ALCOHOLIC BEVERAGE COMMISSION,WILLIAMSON,SUPPLIES AND MATERIALS,242.13,458,TEXAS ALCOHOLIC BEVERAGE COMMISSION
2023,466-OFFICE OF CONSUMER CREDIT COMMISSION,WILLIAMSON,SUPPLIES AND MATERIALS,123.82,466,OFFICE OF CONSUMER CREDIT COMMISSION
2023,469-CREDIT UNION DEPARTMENT,WILLIAMSON,SUPPLIES AND MATERIALS,1239.19,469,CREDIT UNION DEPARTMENT
2023,475-OFFICE OF PUBLIC UTILITY COUNSEL,WILLIAMSON,SUPPLIES AND MATERIALS,11755.42,475,OFFICE OF PUBLIC UTILITY COUNSEL
2023,477-COMM ON STATE EMERGENCY COMMUNICATIONS,WILLIAMSON,SUPPLIES AND MATERIALS,323.3,477,COMM ON STATE EMERGENCY COMMUNICATIONS
2023,479-STATE OFFICE OF RISK MANAGEMENT,WILLIAMSON,SUPPLIES AND MATERIALS,11.52,479,STATE OFFICE OF RISK MANAGEMENT
2023,481-TX BOARD OF PROFESSIONAL GEOSCIENTISTS,WILLIAMSON,SUPPLIES AND MATERIALS,18.69,481,TX BOARD OF PROFESSIONAL GEOSCIENTISTS
2023,503-TEXAS MEDICAL BOARD,WILLIAMSON,SUPPLIES AND MATERIALS,145,503,TEXAS MEDICAL BOARD
2023,504-STATE BOARD OF DENTAL EXAMINERS,WILLIAMSON,SUPPLIES AND MATERIALS,162.43,504,STATE BOARD OF DENTAL EXAMINERS
2023,507-TEXAS BOARD OF NURSING,WILLIAMSON,SUPPLIES AND MATERIALS,12760.02,507,TEXAS BOARD OF NURSING
2023,508-TEXAS BOARD OF CHIROPRACTIC EXAMINERS,WILLIAMSON,SUPPLIES AND MATERIALS,1021.69,508,TEXAS BOARD OF CHIROPRACTIC EXAMINERS
2023,510-TX BEHAVIORAL HEALTH EXECUTIVE COUNCIL,WILLIAMSON,SUPPLIES AND MATERIALS,1477.46,510,TX BEHAVIORAL HEALTH EXECUTIVE COUNCIL
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,WILLIAMSON,SUPPLIES AND MATERIALS,6677062.65,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,WILLIAMSON,SUPPLIES AND MATERIALS,9381.7,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,533-EXEC CNCL OF PHYSICAL & OCC THERAPY EXAM,WILLIAMSON,SUPPLIES AND MATERIALS,296.7,533,EXEC CNCL OF PHYSICAL & OCC THERAPY EXAM
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,WILLIAMSON,SUPPLIES AND MATERIALS,55077,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,542-CANCER PREVENTION & RESEARCH INST OF TX,WILLIAMSON,SUPPLIES AND MATERIALS,749.07,542,CANCER PREVENTION & RESEARCH INST OF TX
2023,551-DEPARTMENT OF AGRICULTURE,WILLIAMSON,SUPPLIES AND MATERIALS,2765.89,551,DEPARTMENT OF AGRICULTURE
2023,554-TEXAS ANIMAL HEALTH COMMISSION,WILLIAMSON,SUPPLIES AND MATERIALS,98540.42,554,TEXAS ANIMAL HEALTH COMMISSION
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,WILLIAMSON,SUPPLIES AND MATERIALS,2727.65,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,556-TEXAS A&M AGRILIFE RESEARCH,WILLIAMSON,SUPPLIES AND MATERIALS,4852.6,556,TEXAS A&M AGRILIFE RESEARCH
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,WILLIAMSON,SUPPLIES AND MATERIALS,4940.56,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,WILLIAMSON,SUPPLIES AND MATERIALS,11374.24,576,TEXAS A&M FOREST SERVICE
2023,580-TEXAS WATER DEVELOPMENT BOARD,WILLIAMSON,SUPPLIES AND MATERIALS,5174.78,580,TEXAS WATER DEVELOPMENT BOARD
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,WILLIAMSON,SUPPLIES AND MATERIALS,118959.65,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,592-STATE SOIL AND WATER CONSERVATION BOARD,WILLIAMSON,SUPPLIES AND MATERIALS,187.45,592,STATE SOIL AND WATER CONSERVATION BOARD
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,WILLIAMSON,SUPPLIES AND MATERIALS,32836615.94,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,608-TEXAS DEPARTMENT OF MOTOR VEHICLES,WILLIAMSON,SUPPLIES AND MATERIALS,11946.57,608,TEXAS DEPARTMENT OF MOTOR VEHICLES
2023,644-TEXAS JUVENILE JUSTICE DEPARTMENT,WILLIAMSON,SUPPLIES AND MATERIALS,117788.22,644,TEXAS JUVENILE JUSTICE DEPARTMENT
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,WILLIAMSON,SUPPLIES AND MATERIALS,3690398.26,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,701-TEXAS EDUCATION AGENCY,WILLIAMSON,SUPPLIES AND MATERIALS,1162.86,701,TEXAS EDUCATION AGENCY
2023,709-TX A&M UNIV SYSTEM HEALTH SCIENCE CENTER,WILLIAMSON,SUPPLIES AND MATERIALS,7804.74,709,TX A&M UNIV SYSTEM HEALTH SCIENCE CENTER
2023,711-TEXAS A&M UNIVERSITY,WILLIAMSON,SUPPLIES AND MATERIALS,2802.31,711,TEXAS A&M UNIVERSITY
2023,715-PRAIRIE VIEW A&M UNIVERSITY,WILLIAMSON,SUPPLIES AND MATERIALS,938.35,715,PRAIRIE VIEW A&M UNIVERSITY
2023,720-UNIVERSITY OF TEXAS SYSTEM,WILLIAMSON,SUPPLIES AND MATERIALS,20,720,UNIVERSITY OF TEXAS SYSTEM
2023,721-UNIVERSITY OF TEXAS AT AUSTIN,WILLIAMSON,SUPPLIES AND MATERIALS,6268.45,721,UNIVERSITY OF TEXAS AT AUSTIN
2023,729-UT SOUTHWESTERN MEDICAL CENTER,WILLIAMSON,SUPPLIES AND MATERIALS,787.2,729,UT SOUTHWESTERN MEDICAL CENTER
2023,730-UNIVERSITY OF HOUSTON,WILLIAMSON,SUPPLIES AND MATERIALS,2219.69,730,UNIVERSITY OF HOUSTON
2023,733-TEXAS TECH UNIVERSITY,WILLIAMSON,SUPPLIES AND MATERIALS,80.98,733,TEXAS TECH UNIVERSITY
2023,753-SAM HOUSTON STATE UNIVERSITY,WILLIAMSON,SUPPLIES AND MATERIALS,1765.09,753,SAM HOUSTON STATE UNIVERSITY
2023,756-SUL ROSS STATE UNIVERSITY,WILLIAMSON,SUPPLIES AND MATERIALS,65940.44,756,SUL ROSS STATE UNIVERSITY
2023,760-TEXAS A&M UNIVERSITY - CORPUS CHRISTI,WILLIAMSON,SUPPLIES AND MATERIALS,337.99,760,TEXAS A&M UNIVERSITY - CORPUS CHRISTI
2023,771-TX SCHOOL F/T BLIND & VISUALLY IMPAIRED,WILLIAMSON,SUPPLIES AND MATERIALS,1885.25,771,TX SCHOOL F/T BLIND & VISUALLY IMPAIRED
2023,772-TEXAS SCHOOL FOR THE DEAF,WILLIAMSON,SUPPLIES AND MATERIALS,955235.8,772,TEXAS SCHOOL FOR THE DEAF
2023,774-TX TECH UNIV HEALTH SCIENCE CNTR EL PASO,WILLIAMSON,SUPPLIES AND MATERIALS,308,774,TX TECH UNIV HEALTH SCIENCE CNTR EL PASO
2023,781-TX HIGHER EDUCATION COORDINATING BOARD,WILLIAMSON,SUPPLIES AND MATERIALS,65.98,781,TX HIGHER EDUCATION COORDINATING BOARD
2023,802-PARKS & WILDLIFE DEPARTMENT,WILLIAMSON,SUPPLIES AND MATERIALS,290225.89,802,PARKS & WILDLIFE DEPARTMENT
2023,808-TEXAS HISTORICAL COMMISSION,WILLIAMSON,SUPPLIES AND MATERIALS,18373.41,808,TEXAS HISTORICAL COMMISSION
2023,809-STATE PRESERVATION BOARD,WILLIAMSON,SUPPLIES AND MATERIALS,85548.99,809,STATE PRESERVATION BOARD
2023,101-SENATE,WILLIAMSON,OTHER EXPENDITURES,868,101,SENATE
2023,102-HOUSE OF REPRESENTATIVES,WILLIAMSON,OTHER EXPENDITURES,7209.8,102,HOUSE OF REPRESENTATIVES
2023,103-TEXAS LEGISLATIVE COUNCIL,WILLIAMSON,OTHER EXPENDITURES,77128.3,103,TEXAS LEGISLATIVE COUNCIL
2023,104-LEGISLATIVE BUDGET BOARD,WILLIAMSON,OTHER EXPENDITURES,2535.78,104,LEGISLATIVE BUDGET BOARD
2023,201-SUPREME COURT,WILLIAMSON,OTHER EXPENDITURES,3980,201,SUPREME COURT
2023,212-OFFICE OF COURT ADMINISTRATION,WILLIAMSON,OTHER EXPENDITURES,2000.1,212,OFFICE OF COURT ADMINISTRATION
2023,241-COMPTROLLER - JUDICIARY SECTION,WILLIAMSON,OTHER EXPENDITURES,24753.54,241,COMPTROLLER - JUDICIARY SECTION
2023,242-STATE COMMISSION ON JUDICIAL CONDUCT,WILLIAMSON,OTHER EXPENDITURES,6589.2,242,STATE COMMISSION ON JUDICIAL CONDUCT
2023,300-GOVERNOR - FISCAL,WILLIAMSON,OTHER EXPENDITURES,4227.5,300,GOVERNOR - FISCAL
2023,301-GOVERNOR - EXECUTIVE,WILLIAMSON,OTHER EXPENDITURES,1400,301,GOVERNOR - EXECUTIVE
2023,302-OFFICE OF THE ATTORNEY GENERAL,WILLIAMSON,OTHER EXPENDITURES,279658.81,302,OFFICE OF THE ATTORNEY GENERAL
2023,303-TEXAS FACILITIES COMMISSION,WILLIAMSON,OTHER EXPENDITURES,282880.32,303,TEXAS FACILITIES COMMISSION
2023,304-COMPTROLLER OF PUBLIC ACCOUNTS,WILLIAMSON,OTHER EXPENDITURES,27551.59,304,COMPTROLLER OF PUBLIC ACCOUNTS
2023,306-TX STATE LIBRARY AND ARCHIVES COMMISSION,WILLIAMSON,OTHER EXPENDITURES,20176.04,306,TX STATE LIBRARY AND ARCHIVES COMMISSION
2023,307-SECRETARY OF STATE,WILLIAMSON,OTHER EXPENDITURES,18525.03,307,SECRETARY OF STATE
2023,308-STATE AUDITOR'S OFFICE,WILLIAMSON,OTHER EXPENDITURES,8505,308,STATE AUDITOR'S OFFICE
2023,312-STATE SECURITIES BOARD,WILLIAMSON,OTHER EXPENDITURES,798,312,STATE SECURITIES BOARD
2023,313-DEPARTMENT OF INFORMATION RESOURCES,WILLIAMSON,OTHER EXPENDITURES,380734.37,313,DEPARTMENT OF INFORMATION RESOURCES
2023,315-TEXAS PREPAID HIGHER ED TUITION BOARD,WILLIAMSON,OTHER EXPENDITURES,1168845.94,315,TEXAS PREPAID HIGHER ED TUITION BOARD
2023,320-TEXAS WORKFORCE COMMISSION,WILLIAMSON,OTHER EXPENDITURES,1936948.66,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,WILLIAMSON,OTHER EXPENDITURES,11550.81,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,326-TEXAS EMERGENCY SERVICES RETIREMENT SYS,WILLIAMSON,OTHER EXPENDITURES,4509.99,326,TEXAS EMERGENCY SERVICES RETIREMENT SYS
2023,327-EMPLOYEES RETIREMENT SYSTEM OF TEXAS,WILLIAMSON,OTHER EXPENDITURES,124981.22,327,EMPLOYEES RETIREMENT SYSTEM OF TEXAS
2023,329-TEXAS REAL ESTATE COMMISSION,WILLIAMSON,OTHER EXPENDITURES,51727.42,329,TEXAS REAL ESTATE COMMISSION
2023,332-TX DEPT OF HOUSING & COMMUNITY AFFAIRS,WILLIAMSON,OTHER EXPENDITURES,2598.02,332,TX DEPT OF HOUSING & COMMUNITY AFFAIRS
2023,338-STATE PENSION REVIEW BOARD,WILLIAMSON,OTHER EXPENDITURES,403.55,338,STATE PENSION REVIEW BOARD
2023,356-TEXAS ETHICS COMMISSION,WILLIAMSON,OTHER EXPENDITURES,195,356,TEXAS ETHICS COMMISSION
2023,359-OFFICE OF PUBLIC INSURANCE COUNSEL,WILLIAMSON,OTHER EXPENDITURES,2150.22,359,OFFICE OF PUBLIC INSURANCE COUNSEL
2023,360-STATE OFFICE OF ADMINISTRATIVE HEARINGS,WILLIAMSON,OTHER EXPENDITURES,1497,360,STATE OFFICE OF ADMINISTRATIVE HEARINGS
2023,362-TEXAS LOTTERY COMMISSION,WILLIAMSON,OTHER EXPENDITURES,3842.85,362,TEXAS LOTTERY COMMISSION
2023,401-TEXAS MILITARY DEPARTMENT,WILLIAMSON,OTHER EXPENDITURES,1352585.15,401,TEXAS MILITARY DEPARTMENT
2023,403-TEXAS VETERANS COMMISSION,WILLIAMSON,OTHER EXPENDITURES,12364.08,403,TEXAS VETERANS COMMISSION
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,WILLIAMSON,OTHER EXPENDITURES,1553328.28,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,407-TX COMMISSION ON LAW ENFORCEMENT,WILLIAMSON,OTHER EXPENDITURES,6136.36,407,TX COMMISSION ON LAW ENFORCEMENT
2023,409-COMMISSION ON JAIL STANDARDS,WILLIAMSON,OTHER EXPENDITURES,512.88,409,COMMISSION ON JAIL STANDARDS
2023,411-TEXAS COMMISSION ON FIRE PROTECTION,WILLIAMSON,OTHER EXPENDITURES,3018,411,TEXAS COMMISSION ON FIRE PROTECTION
2023,450-DEPARTMENT OF SAVINGS & MORTGAGE LENDING,WILLIAMSON,OTHER EXPENDITURES,314.17,450,DEPARTMENT OF SAVINGS & MORTGAGE LENDING
2023,451-TEXAS DEPARTMENT OF BANKING,WILLIAMSON,OTHER EXPENDITURES,21590.18,451,TEXAS DEPARTMENT OF BANKING
2023,452-TEXAS DEPT OF LICENSING & REGULATION,WILLIAMSON,OTHER EXPENDITURES,167907.24,452,TEXAS DEPT OF LICENSING & REGULATION
2023,454-TEXAS DEPARTMENT OF INSURANCE,WILLIAMSON,OTHER EXPENDITURES,92811.44,454,TEXAS DEPARTMENT OF INSURANCE
2023,455-RAILROAD COMMISSION OF TEXAS,WILLIAMSON,OTHER EXPENDITURES,59891.04,455,RAILROAD COMMISSION OF TEXAS
2023,456-TEXAS STATE BOARD OF PLUMBING EXAMINERS,WILLIAMSON,OTHER EXPENDITURES,10729.44,456,TEXAS STATE BOARD OF PLUMBING EXAMINERS
2023,457-TEXAS STATE BOARD OF PUBLIC ACCOUNTANCY,WILLIAMSON,OTHER EXPENDITURES,313.07,457,TEXAS STATE BOARD OF PUBLIC ACCOUNTANCY
2023,458-TEXAS ALCOHOLIC BEVERAGE COMMISSION,WILLIAMSON,OTHER EXPENDITURES,3962.05,458,TEXAS ALCOHOLIC BEVERAGE COMMISSION
2023,459-TEXAS BOARD OF ARCHITECTURAL EXAMINERS,WILLIAMSON,OTHER EXPENDITURES,2056.58,459,TEXAS BOARD OF ARCHITECTURAL EXAMINERS
2023,460-TX BD OF PROF ENGINEERS & LAND SURVEYORS,WILLIAMSON,OTHER EXPENDITURES,1695,460,TX BD OF PROF ENGINEERS & LAND SURVEYORS
2023,466-OFFICE OF CONSUMER CREDIT COMMISSION,WILLIAMSON,OTHER EXPENDITURES,1301.98,466,OFFICE OF CONSUMER CREDIT COMMISSION
2023,469-CREDIT UNION DEPARTMENT,WILLIAMSON,OTHER EXPENDITURES,911.25,469,CREDIT UNION DEPARTMENT
2023,473-PUBLIC UTILITY COMMISSION OF TEXAS,WILLIAMSON,OTHER EXPENDITURES,39386.46,473,PUBLIC UTILITY COMMISSION OF TEXAS
2023,475-OFFICE OF PUBLIC UTILITY COUNSEL,WILLIAMSON,OTHER EXPENDITURES,7367.12,475,OFFICE OF PUBLIC UTILITY COUNSEL
2023,476-TEXAS RACING COMMISSION,WILLIAMSON,OTHER EXPENDITURES,3252.37,476,TEXAS RACING COMMISSION
2023,477-COMM ON STATE EMERGENCY COMMUNICATIONS,WILLIAMSON,OTHER EXPENDITURES,4073.85,477,COMM ON STATE EMERGENCY COMMUNICATIONS
2023,481-TX BOARD OF PROFESSIONAL GEOSCIENTISTS,WILLIAMSON,OTHER EXPENDITURES,337.96,481,TX BOARD OF PROFESSIONAL GEOSCIENTISTS
2023,503-TEXAS MEDICAL BOARD,WILLIAMSON,OTHER EXPENDITURES,5121.72,503,TEXAS MEDICAL BOARD
2023,504-STATE BOARD OF DENTAL EXAMINERS,WILLIAMSON,OTHER EXPENDITURES,1040,504,STATE BOARD OF DENTAL EXAMINERS
2023,507-TEXAS BOARD OF NURSING,WILLIAMSON,OTHER EXPENDITURES,3396.25,507,TEXAS BOARD OF NURSING
2023,508-TEXAS BOARD OF CHIROPRACTIC EXAMINERS,WILLIAMSON,OTHER EXPENDITURES,1385.21,508,TEXAS BOARD OF CHIROPRACTIC EXAMINERS
2023,510-TX BEHAVIORAL HEALTH EXECUTIVE COUNCIL,WILLIAMSON,OTHER EXPENDITURES,1125,510,TX BEHAVIORAL HEALTH EXECUTIVE COUNCIL
2023,515-TEXAS STATE BOARD OF PHARMACY,WILLIAMSON,OTHER EXPENDITURES,12711.21,515,TEXAS STATE BOARD OF PHARMACY
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,WILLIAMSON,OTHER EXPENDITURES,1928371.85,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,WILLIAMSON,OTHER EXPENDITURES,4596082.18,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,533-EXEC CNCL OF PHYSICAL & OCC THERAPY EXAM,WILLIAMSON,OTHER EXPENDITURES,790.62,533,EXEC CNCL OF PHYSICAL & OCC THERAPY EXAM
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,WILLIAMSON,OTHER EXPENDITURES,278167.95,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,542-CANCER PREVENTION & RESEARCH INST OF TX,WILLIAMSON,OTHER EXPENDITURES,79.45,542,CANCER PREVENTION & RESEARCH INST OF TX
2023,551-DEPARTMENT OF AGRICULTURE,WILLIAMSON,OTHER EXPENDITURES,435225.68,551,DEPARTMENT OF AGRICULTURE
2023,554-TEXAS ANIMAL HEALTH COMMISSION,WILLIAMSON,OTHER EXPENDITURES,1510.84,554,TEXAS ANIMAL HEALTH COMMISSION
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,WILLIAMSON,OTHER EXPENDITURES,2039.12,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,556-TEXAS A&M AGRILIFE RESEARCH,WILLIAMSON,OTHER EXPENDITURES,15066.28,556,TEXAS A&M AGRILIFE RESEARCH
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,WILLIAMSON,OTHER EXPENDITURES,227446.78,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,WILLIAMSON,OTHER EXPENDITURES,5328.65,576,TEXAS A&M FOREST SERVICE
2023,580-TEXAS WATER DEVELOPMENT BOARD,WILLIAMSON,OTHER EXPENDITURES,67157.99,580,TEXAS WATER DEVELOPMENT BOARD
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,WILLIAMSON,OTHER EXPENDITURES,3143872.23,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,592-STATE SOIL AND WATER CONSERVATION BOARD,WILLIAMSON,OTHER EXPENDITURES,180,592,STATE SOIL AND WATER CONSERVATION BOARD
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,WILLIAMSON,OTHER EXPENDITURES,5695060.29,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,608-TEXAS DEPARTMENT OF MOTOR VEHICLES,WILLIAMSON,OTHER EXPENDITURES,142868.02,608,TEXAS DEPARTMENT OF MOTOR VEHICLES
2023,644-TEXAS JUVENILE JUSTICE DEPARTMENT,WILLIAMSON,OTHER EXPENDITURES,114583.66,644,TEXAS JUVENILE JUSTICE DEPARTMENT
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,WILLIAMSON,OTHER EXPENDITURES,1964749.23,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,701-TEXAS EDUCATION AGENCY,WILLIAMSON,OTHER EXPENDITURES,30225.31,701,TEXAS EDUCATION AGENCY
2023,709-TX A&M UNIV SYSTEM HEALTH SCIENCE CENTER,WILLIAMSON,OTHER EXPENDITURES,321847.99,709,TX A&M UNIV SYSTEM HEALTH SCIENCE CENTER
2023,710-TEXAS A&M UNIVERSITY SYSTEM,WILLIAMSON,OTHER EXPENDITURES,7.77,710,TEXAS A&M UNIVERSITY SYSTEM
2023,711-TEXAS A&M UNIVERSITY,WILLIAMSON,OTHER EXPENDITURES,70064.21,711,TEXAS A&M UNIVERSITY
2023,712-TEXAS A&M ENGINEERING EXPERIMENT STATION,WILLIAMSON,OTHER EXPENDITURES,1024.11,712,TEXAS A&M ENGINEERING EXPERIMENT STATION
2023,713-TARLETON STATE UNIVERSITY,WILLIAMSON,OTHER EXPENDITURES,3000,713,TARLETON STATE UNIVERSITY
2023,715-PRAIRIE VIEW A&M UNIVERSITY,WILLIAMSON,OTHER EXPENDITURES,3559.46,715,PRAIRIE VIEW A&M UNIVERSITY
2023,720-UNIVERSITY OF TEXAS SYSTEM,WILLIAMSON,OTHER EXPENDITURES,313990.76,720,UNIVERSITY OF TEXAS SYSTEM
2023,721-UNIVERSITY OF TEXAS AT AUSTIN,WILLIAMSON,OTHER EXPENDITURES,215649.1,721,UNIVERSITY OF TEXAS AT AUSTIN
2023,730-UNIVERSITY OF HOUSTON,WILLIAMSON,OTHER EXPENDITURES,7.94,730,UNIVERSITY OF HOUSTON
2023,731-TEXAS WOMAN'S UNIVERSITY,WILLIAMSON,OTHER EXPENDITURES,14175,731,TEXAS WOMAN'S UNIVERSITY
2023,732-TEXAS A&M UNIVERSITY-KINGSVILLE,WILLIAMSON,OTHER EXPENDITURES,157.6,732,TEXAS A&M UNIVERSITY-KINGSVILLE
2023,733-TEXAS TECH UNIVERSITY,WILLIAMSON,OTHER EXPENDITURES,6615.43,733,TEXAS TECH UNIVERSITY
2023,734-LAMAR UNIVERSITY,WILLIAMSON,OTHER EXPENDITURES,19.74,734,LAMAR UNIVERSITY
2023,738-UNIVERSITY OF TEXAS AT DALLAS,WILLIAMSON,OTHER EXPENDITURES,94.03,738,UNIVERSITY OF TEXAS AT DALLAS
2023,739-TX TECH UNIVERSITY HEALTH SCIENCES CENTR,WILLIAMSON,OTHER EXPENDITURES,17507.04,739,TX TECH UNIVERSITY HEALTH SCIENCES CENTR
